# R2D2 grid neighbours information
1	2.5	0.02	51	2	
2	2.5	0.06	3	1	52	
3	2.5	0.1	4	2	53	
4	2.5	0.14	5	3	54	
5	2.5	0.18	6	4	55	
6	2.5	0.22	7	5	56	
7	2.5	0.26	8	6	57	
8	2.5	0.3	9	7	58	
9	2.5	0.34	10	8	59	
10	2.5	0.38	11	9	60	
11	2.5	0.42	12	10	61	
12	2.5	0.46	13	11	62	
13	2.5	0.5	14	12	63	
14	2.5	0.54	15	13	64	
15	2.5	0.58	16	14	65	
16	2.5	0.62	17	15	66	
17	2.5	0.66	18	16	67	
18	2.5	0.7	19	17	68	
19	2.5	0.74	20	18	69	
20	2.5	0.78	21	19	70	
21	2.5	0.82	22	20	71	
22	2.5	0.86	23	21	72	
23	2.5	0.9	24	22	73	
24	2.5	0.94	25	23	74	
25	2.5	0.98	26	24	75	
26	2.5	1.02	27	25	76	
27	2.5	1.06	28	26	77	
28	2.5	1.1	29	27	78	
29	2.5	1.14	30	28	79	
30	2.5	1.18	31	29	80	
31	2.5	1.22	32	30	81	
32	2.5	1.26	33	31	82	
33	2.5	1.3	34	32	83	
34	2.5	1.34	35	33	84	
35	2.5	1.38	36	34	85	
36	2.5	1.42	37	35	86	
37	2.5	1.46	38	36	87	
38	2.5	1.5	39	37	88	
39	2.5	1.54	40	38	89	
40	2.5	1.58	41	39	90	
41	2.5	1.62	42	40	91	
42	2.5	1.66	43	41	92	
43	2.5	1.7	44	42	93	
44	2.5	1.74	45	43	94	
45	2.5	1.78	46	44	95	
46	2.5	1.82	47	45	96	
47	2.5	1.86	48	46	97	
48	2.5	1.9	49	47	98	
49	2.5	1.94	50	48	99	
50	2.5	1.98	49	100	
51	7.5	0.02	1	52	
52	7.5	0.06	2	51	53	
53	7.5	0.1	3	52	54	
54	7.5	0.14	4	53	55	
55	7.5	0.18	5	54	56	
56	7.5	0.22	6	55	57	
57	7.5	0.26	7	56	58	
58	7.5	0.3	8	57	59	
59	7.5	0.34	9	58	60	
60	7.5	0.38	10	59	61	
61	7.5	0.42	11	60	62	
62	7.5	0.46	12	61	63	
63	7.5	0.5	13	62	64	
64	7.5	0.54	14	63	65	
65	7.5	0.58	15	64	66	
66	7.5	0.62	16	65	67	
67	7.5	0.66	17	66	68	
68	7.5	0.7	18	67	69	
69	7.5	0.74	19	68	70	
70	7.5	0.78	20	69	71	
71	7.5	0.82	21	70	72	
72	7.5	0.86	22	71	73	
73	7.5	0.9	23	72	74	
74	7.5	0.94	24	73	75	
75	7.5	0.98	25	74	76	
76	7.5	1.02	26	75	77	
77	7.5	1.06	27	76	78	
78	7.5	1.1	28	77	79	
79	7.5	1.14	29	78	80	
80	7.5	1.18	30	79	81	
81	7.5	1.22	31	80	82	
82	7.5	1.26	32	81	83	
83	7.5	1.3	33	82	84	
84	7.5	1.34	34	83	85	
85	7.5	1.38	35	84	86	
86	7.5	1.42	36	85	87	
87	7.5	1.46	37	86	88	
88	7.5	1.5	38	87	89	
89	7.5	1.54	39	88	90	
90	7.5	1.58	40	89	91	
91	7.5	1.62	41	90	92	
92	7.5	1.66	42	91	93	
93	7.5	1.7	43	92	94	
94	7.5	1.74	44	93	95	
95	7.5	1.78	45	94	96	
96	7.5	1.82	46	95	97	
97	7.5	1.86	47	96	98	
98	7.5	1.9	48	97	99	
99	7.5	1.94	49	98	100	
100	7.5	1.98	50	99	
